Alignment Data
x,y,z,zd
4.4895357129,0.0143074652,0.0027077564,0.0001109118
4.4848272607,0.0142976185,0.0030409025,0.0001057714
4.4808219699,0.0143022620,0.0033192234,0.0001039973
4.4778983944,0.0143133828,0.0035124738,0.0000971934
4.4754871771,0.0143003065,0.0036732655,0.0000957460
4.4732113344,0.0143032113,0.0038188755,0.0000904984
4.4706358664,0.0143193361,0.0039827928,0.0000863364
4.4676352173,0.0143068937,0.0041708384,0.0000820480
4.4641732521,0.0143105342,0.0043856958,0.0000796381
4.4605786025,0.0143220909,0.0045977069,0.0000712486
4.4572256493,0.0143049806,0.0047952222,0.0000678898
4.4540133918,0.0143095714,0.0049838520,0.0000682959
4.4510055169,0.0143238420,0.0051476093,0.0000595083
4.4481783707,0.0143104923,0.0053034697,0.0000564161
4.4453827387,0.0143118900,0.0054479749,0.0000467909
4.4425919138,0.0143297453,0.0055990463,0.0000469936
4.4398129585,0.0143171613,0.0057435777,0.0000442367
4.4369004359,0.0143231972,0.0058937145,0.0000431318
4.4337764907,0.0143302415,0.0060509779,0.0000416915
4.4305354149,0.0143158505,0.0062097390,0.0000396014
4.4272461439,0.0143206556,0.0063687750,0.0000393172
4.4241125960,0.0143348388,0.0065151019,0.0000375003
4.4211051312,0.0143176186,0.0066573175,0.0000408255
4.4183286261,0.0143244101,0.0067787349,0.0000368600
4.4156108924,0.0143376526,0.0069016214,0.0000396314
4.4127269297,0.0143306155,0.0070208321,0.0000341770
4.4096977349,0.0143303428,0.0071490204,0.0000344969
4.4064619297,0.0143318886,0.0072826807,0.0000350097
4.4031995057,0.0143237345,0.0074072451,0.0000288903
4.4000397776,0.0143301794,0.0075305682,0.0000290149
4.3970526928,0.0143393214,0.0076426069,0.0000276029
4.3942034749,0.0143337823,0.0077477368,0.0000272198
4.3914243413,0.0143444244,0.0078491130,0.0000281977
4.3885830425,0.0143383785,0.0079463416,0.0000253251
4.3856238361,0.0143360036,0.0080465240,0.0000239612
4.3825266855,0.0143535236,0.0081527828,0.0000268711
4.3793683690,0.0143303306,0.0082532872,0.0000250334
4.3763526704,0.0143438613,0.0083407871,0.0000176615
4.3733381518,0.0143551561,0.0084358942,0.0000206819
4.3703319156,0.0143295250,0.0085279982,0.0000236561
4.3673899752,0.0143472228,0.0086083186,0.0000193475
4.3644133526,0.0143537995,0.0086929785,0.0000209602
4.3614841962,0.0143281594,0.0087698566,0.0000186203
4.3585955974,0.0143492939,0.0088486320,0.0000216897
4.3556632051,0.0143565572,0.0089186748,0.0000173014
4.3525418272,0.0143445501,0.0089936695,0.0000157214
4.3493353850,0.0143530139,0.0090690308,0.0000152428
4.3462618035,0.0143577670,0.0091396860,0.0000158531
4.3432385852,0.0143473384,0.0092059488,0.0000157233
4.3403055720,0.0143634801,0.0092672808,0.0000149948
4.3374995187,0.0143607349,0.0093287541,0.0000192361
4.3345221571,0.0143481405,0.0093902104,0.0000222338
4.3313877690,0.0143593008,0.0094533285,0.0000263083
4.3282284630,0.0143612659,0.0095120393,0.0000280682
4.3250997934,0.0143604459,0.0095635829,0.0000257203
4.3219914920,0.0143576156,0.0096118185,0.0000228582
4.3191052808,0.0143635903,0.0096579338,0.0000236838
4.3162732219,0.0143542684,0.0097016219,0.0000249285
4.3133669468,0.0143656107,0.0097457813,0.0000275689
4.3103780380,0.0143619657,0.0097879208,0.0000291364
4.3073423996,0.0143663142,0.0098272842,0.0000294791
4.3041881044,0.0143559061,0.0098630843,0.0000270401
4.3011310475,0.0143612554,0.0098966118,0.0000257267
4.2981925036,0.0143818992,0.0099289426,0.0000266040
4.2952919759,0.0143661586,0.0099605446,0.0000290944
4.2923666099,0.0143743236,0.0099876085,0.0000287261
4.2894352083,0.0143770817,0.0100152441,0.0000307941
4.2864701266,0.0143796052,0.0100381986,0.0000298230
4.2834859592,0.0143861074,0.0100618342,0.0000313235
4.2805567971,0.0143868161,0.0100855633,0.0000352020
4.2776293600,0.0143734252,0.0101063473,0.0000379843
4.2746380117,0.0143864525,0.0101259487,0.0000410685
4.2715646432,0.0143944945,0.0101407546,0.0000408585
4.2684974390,0.0143736830,0.0101535836,0.0000406540
4.2654798740,0.0143905279,0.0101625765,0.0000387072
4.2624675476,0.0143849708,0.0101717511,0.0000388020
4.2595838585,0.0143798362,0.0101768703,0.0000369336
4.2567495024,0.0143857484,0.0101823032,0.0000371059
4.2537215800,0.0143817710,0.0101847246,0.0000356488
4.2505999185,0.0143865999,0.0101872387,0.0000360267
4.2474029123,0.0143899214,0.0101879933,0.0000365304
4.2442468409,0.0143760937,0.0101886504,0.0000388399
4.2411753151,0.0143906136,0.0101847045,0.0000382935
4.2382718915,0.0143902226,0.0101776085,0.0000360169
4.2354325528,0.0143775119,0.0101729326,0.0000375473
4.2325609242,0.0143885913,0.0101640585,0.0000364351
4.2295950338,0.0143978552,0.0101548276,0.0000367720
4.2265952313,0.0143958410,0.0101459387,0.0000391459
4.2234925161,0.0143978025,0.0101328286,0.0000393433
4.2204273975,0.0144032776,0.0101175413,0.0000388387
4.2174694173,0.0144129624,0.0101015827,0.0000386705
4.2145837866,0.0144068874,0.0100839628,0.0000378818
4.2116562130,0.0144026293,0.0100688470,0.0000412655
4.2086827183,0.0144151693,0.0100478074,0.0000404669
4.2055748016,0.0144156194,0.0100260384,0.0000413998
4.2025211253,0.0144064124,0.0100024160,0.0000416042
4.1995536229,0.0144165934,0.0099764610,0.0000402303
4.1966570051,0.0144197067,0.0099514728,0.0000405774
4.1936235316,0.0144135882,0.0099254863,0.0000425279
4.1904008795,0.0144206759,0.0098938170,0.0000420926
4.1872766425,0.0144255618,0.0098618389,0.0000419059
4.1841294197,0.0144208677,0.0098280138,0.0000415920
4.1811025460,0.0144233946,0.0097910175,0.0000382150
4.1782839092,0.0144279340,0.0097608555,0.0000405702
4.1754956146,0.0144280678,0.0097265652,0.0000395832
4.1725269441,0.0144295906,0.0096898469,0.0000395506
4.1695513138,0.0144238893,0.0096508577,0.0000385898
4.1665101456,0.0144306251,0.0096117511,0.0000396330
4.1634997439,0.0144278583,0.0095712248,0.0000401142
4.1606375756,0.0144285306,0.0095331312,0.0000421608
4.1578613173,0.0144395146,0.0094931804,0.0000422055
